Grass Ground,(-27.00, 0.00, -15.00)
Grass Ground,(-25.00, 0.00, -15.00)
Grass Ground,(-23.00, 0.00, -15.00)
Grass Ground,(-21.00, 0.00, -15.00)
Grass Ground,(-19.00, 0.00, -15.00)
Grass Ground,(-17.00, 0.00, -15.00)
Grass Ground,(-15.00, 0.00, -15.00)
Grass Ground,(-13.00, 0.00, -15.00)
Grass Ground,(-11.00, 0.00, -15.00)
Grass Ground,(-9.00, 0.00, -15.00)
Grass Ground,(-7.00, 0.00, -15.00)
Grass Ground,(-5.00, 0.00, -15.00)
Grass Ground,(-3.00, 0.00, -15.00)
Grass Ground,(-1.00, 0.00, -15.00)
Grass Ground,(1.00, 0.00, -15.00)
Grass Ground,(3.00, 0.00, -15.00)
Grass Ground,(5.00, 0.00, -15.00)
Grass Ground,(7.00, 0.00, -15.00)
Grass Ground,(9.00, 0.00, -15.00)
Grass Ground,(11.00, 0.00, -15.00)
Grass Ground,(13.00, 0.00, -15.00)
Grass Ground,(15.00, 0.00, -15.00)
Grass Ground,(17.00, 0.00, -15.00)
Grass Ground,(19.00, 0.00, -15.00)
Grass Ground,(21.00, 0.00, -15.00)
Grass Ground,(23.00, 0.00, -15.00)
Grass Ground,(-27.00, 0.00, -13.00)
Grass Ground,(-25.00, 0.00, -13.00)
Grass Ground,(-23.00, 0.00, -13.00)
Grass Ground,(-21.00, 0.00, -13.00)
Grass Ground,(-19.00, 0.00, -13.00)
Grass Ground,(-17.00, 0.00, -13.00)
Grass Ground,(-15.00, 0.00, -13.00)
Grass Ground,(-13.00, 0.00, -13.00)
Grass Ground,(-11.00, 0.00, -13.00)
Grass Ground,(-9.00, 0.00, -13.00)
Grass Ground,(-7.00, 0.00, -13.00)
Grass Ground,(-5.00, 0.00, -13.00)
Grass Ground,(-3.00, 0.00, -13.00)
Grass Ground,(-1.00, 0.00, -13.00)
Grass Ground,(1.00, 0.00, -13.00)
Grass Ground,(3.00, 0.00, -13.00)
Grass Ground,(5.00, 0.00, -13.00)
Grass Ground,(7.00, 0.00, -13.00)
Grass Ground,(9.00, 0.00, -13.00)
Grass Ground,(11.00, 0.00, -13.00)
Grass Ground,(13.00, 0.00, -13.00)
Grass Ground,(15.00, 0.00, -13.00)
Grass Ground,(17.00, 0.00, -13.00)
Grass Ground,(19.00, 0.00, -13.00)
Grass Ground,(21.00, 0.00, -13.00)
Grass Ground,(23.00, 0.00, -13.00)
Grass Ground,(-27.00, 0.00, -11.00)
Grass Ground,(-25.00, 0.00, -11.00)
Grass Ground,(-23.00, 0.00, -11.00)
Grass Ground,(-21.00, 0.00, -11.00)
Grass Ground,(-19.00, 0.00, -11.00)
Grass Ground,(-17.00, 0.00, -11.00)
Grass Ground,(-15.00, 0.00, -11.00)
Grass Ground,(-13.00, 0.00, -11.00)
Grass Ground,(-11.00, 0.00, -11.00)
Grass Ground,(-9.00, 0.00, -11.00)
Grass Ground,(-7.00, 0.00, -11.00)
Grass Ground,(-5.00, 0.00, -11.00)
Grass Ground,(-3.00, 0.00, -11.00)
Grass Ground,(-1.00, 0.00, -11.00)
Grass Ground,(1.00, 0.00, -11.00)
Grass Ground,(3.00, 0.00, -11.00)
Grass Ground,(5.00, 0.00, -11.00)
Grass Ground,(7.00, 0.00, -11.00)
Grass Ground,(9.00, 0.00, -11.00)
Grass Ground,(11.00, 0.00, -11.00)
Grass Ground,(13.00, 0.00, -11.00)
Grass Ground,(15.00, 0.00, -11.00)
Grass Ground,(17.00, 0.00, -11.00)
Grass Ground,(19.00, 0.00, -11.00)
Grass Ground,(21.00, 0.00, -11.00)
Grass Ground,(23.00, 0.00, -11.00)
Grass Ground,(-27.00, 0.00, -9.00)
Grass Ground,(-25.00, 0.00, -9.00)
Grass Ground,(-23.00, 0.00, -9.00)
Grass Ground,(-21.00, 0.00, -9.00)
Grass Ground,(-19.00, 0.00, -9.00)
Grass Ground,(-17.00, 0.00, -9.00)
Grass Ground,(-15.00, 0.00, -9.00)
Grass Ground,(-13.00, 0.00, -9.00)
Grass Ground,(-11.00, 0.00, -9.00)
Grass Ground,(-9.00, 0.00, -9.00)
Grass Ground,(-7.00, 0.00, -9.00)
Grass Ground,(-5.00, 0.00, -9.00)
Grass Ground,(-3.00, 0.00, -9.00)
Grass Ground,(-1.00, 0.00, -9.00)
Grass Ground,(1.00, 0.00, -9.00)
Grass Ground,(3.00, 0.00, -9.00)
Grass Ground,(5.00, 0.00, -9.00)
Grass Ground,(7.00, 0.00, -9.00)
Grass Ground,(9.00, 0.00, -9.00)
Grass Ground,(11.00, 0.00, -9.00)
Grass Ground,(13.00, 0.00, -9.00)
Grass Ground,(15.00, 0.00, -9.00)
Grass Ground,(17.00, 0.00, -9.00)
Grass Ground,(19.00, 0.00, -9.00)
Grass Ground,(21.00, 0.00, -9.00)
Grass Ground,(23.00, 0.00, -9.00)
Grass Ground,(-27.00, 0.00, -7.00)
Grass Ground,(-25.00, 0.00, -7.00)
Grass Ground,(-23.00, 0.00, -7.00)
Grass Ground,(-21.00, 0.00, -7.00)
Grass Ground,(-19.00, 0.00, -7.00)
Grass Ground,(-17.00, 0.00, -7.00)
Grass Ground,(-15.00, 0.00, -7.00)
Grass Ground,(-13.00, 0.00, -7.00)
Grass Ground,(-11.00, 0.00, -7.00)
Grass Ground,(-9.00, 0.00, -7.00)
Grass Ground,(-7.00, 0.00, -7.00)
Grass Ground,(-5.00, 0.00, -7.00)
Grass Ground,(-3.00, 0.00, -7.00)
Grass Ground,(-1.00, 0.00, -7.00)
Grass Ground,(1.00, 0.00, -7.00)
Grass Ground,(3.00, 0.00, -7.00)
Grass Ground,(5.00, 0.00, -7.00)
Grass Ground,(7.00, 0.00, -7.00)
Grass Ground,(9.00, 0.00, -7.00)
